,rank1,rank2
254,37281,37034
255,20494,25530
256,36456,21101
257,39580,32642
258,28581,35408
259,22434,25511
260,38169,33357
261,38785,34191
262,20504,26787
263,38970,24856
264,22476,21633
265,38237,21667
266,22912,35421
267,29885,34988
268,34895,36457
269,27618,24078
270,31520,31677
271,21703,23157
272,34639,25546
273,34956,26339
274,31348,32970
275,36730,34969
276,27835,20708
277,32868,34002
278,21473,29802
279,31228,32371
280,20379,30970
281,35251,39295
282,32694,21753
283,37633,35704
284,29904,20273
285,26052,29382
286,20623,39455
287,33751,32752
288,21206,20429
289,29484,33920
290,34063,33525
291,37011,21550
292,38510,28603
293,22706,38494
294,33065,22963
295,25997,25481
296,33304,22398
297,37754,29667
298,29256,20703
299,20735,30697
300,36536,33984
301,23741,23664
302,30952,31881
303,35451,28167
304,22837,24116
305,31540,20794
306,28607,31572
307,25614,33980
308,34823,28409
309,37117,24508
310,33274,38475
311,27657,23409
312,29869,30620
313,39817,33297
314,35601,31406
315,28057,37106
316,30514,32274
317,32285,32804
318,27030,34400
319,25157,28790
320,26165,33507
321,24252,36885
322,24540,31448
323,24739,21141
324,23968,35030
325,37207,32290
326,35477,34655
327,28830,31467
328,21239,30415
329,31403,37638
330,34605,36487
331,35162,32910
332,37261,35896
333,31149,26646
334,38964,35221
335,37737,37698
336,27134,22509
337,31099,27834
338,34177,29702
339,24545,31175
340,35447,22122
341,26919,22375
342,32440,32306
343,35845,29893
344,25965,34041
345,33381,38848
346,29824,27039
347,29946,34449
348,26497,38053
349,24532,34371
350,38035,20557
351,32555,21347
352,28369,32138
353,39517,27009
354,24636,36842
355,32812,24218
356,29762,27225
357,26531,24212
358,39234,32612
359,22526,35368
360,32863,35512
361,33562,39261
362,25867,34446
363,28347,33227
364,32627,24864
365,27673,34643
366,25668,28986
367,39521,33873
368,24100,37836
369,21887,32724
370,38396,30212
371,37775,34130
372,23028,23746
373,33030,28419
374,22204,39149
375,25672,23563
376,38697,23855
377,29914,37575
378,26022,37473
379,25276,30687
380,22104,34843
381,31712,25198
382,31547,25565
383,20074,33782
384,30615,27591
385,23291,28004
386,31901,36000
387,21225,21054
388,25745,34561
389,30296,31262
390,37619,21655
391,26955,23131
392,37498,22744
393,23416,32087
394,23840,22650
395,33551,32816
396,25801,31388
397,29066,26039
398,37015,33307
399,22285,37129
400,38347,32177
401,36406,25896
402,21902,26886
403,25044,34018
404,39844,25172
405,24521,38467
406,23712,23282
407,38919,24135
408,29449,25136
409,20160,32350
410,37743,26972
411,32275,28258
412,26420,21664
413,33625,23509
414,29415,30381
415,36757,35403
416,37319,38939
417,32110,27967
418,31615,31749
419,23243,27898
420,36385,22407
421,36327,28572
422,20666,39338
423,20244,32433
424,30090,29274
425,23106,35478
426,21020,31638
427,37942,38865
428,29011,33556
429,20905,29450
430,26037,24295
431,32776,31272
432,20401,30078
433,30494,34113
434,28648,23516
435,33808,36613
436,24943,22968
437,34402,25063
438,36499,39218
439,32638,31961
440,29815,30339
441,24846,28674
442,35584,29339
443,34403,20356
444,25294,28297
445,28741,20709
446,29711,26623
447,26502,32988
448,29590,21094
449,32417,34898
450,24953,23517
451,36796,24673
452,21567,26516
453,22793,20931
454,22838,21251
455,32690,33471
456,32203,34892
457,21725,29115
458,24763,25095
459,31214,38067
460,31235,39472
461,34477,33448
462,27914,29306
463,34508,34110
464,22212,33379
465,35366,27461
466,32606,33828
467,33739,30573
468,30549,29411
469,34380,33668
470,37201,32344
471,26706,26509
472,39890,30756
473,35948,28852
474,30409,28165
475,35296,30141
476,33546,26653
477,22428,26490
478,21555,31054
479,31238,38256
480,35965,35974
481,35259,27315
482,21906,36287
483,25657,25772
484,21003,24753
485,31650,26284
486,29040,35515
487,20255,31867
488,37397,30011
489,31122,38664
490,34730,31790
491,21317,24404
492,23442,38479
493,20226,36207
494,37560,25017
495,23771,26537
496,38236,31704
497,26366,24285
498,30962,26570
499,20822,26175
500,33260,34213
501,27223,32254
502,30852,27001
503,30755,32566
504,21833,32148
505,27743,33362
506,31363,36956
507,34938,27107
508,30618,29894
509,20318,28559
510,26846,22230
511,25439,21135
512,38092,25920
513,23075,20221
514,35667,25621
515,23888,21637
516,32754,33055
517,33613,37258
518,27982,30174
519,31196,29039
520,30528,37369
521,28815,30672
522,28664,20224
523,20778,24627
524,37744,20017
525,33347,37761
526,35563,35027
527,39847,23540
528,38456,39246
529,22411,38541
530,31441,37666
531,34983,31402
532,32390,24520
533,39168,33857
534,21125,28720
535,35662,21460
536,35193,31439
537,31121,29690
538,26437,28251
539,28774,37683
540,27571,27640
541,23989,38666
542,26835,23434
543,30552,22340
544,31946,27213
545,27494,27259
546,23710,23051
547,36734,29710
548,39535,39770
549,27787,25099
550,20380,30113
551,31716,32710
552,28700,32315
553,23313,20449
554,20115,22585
555,36625,31614
556,30774,24746
557,38984,28391
558,32176,34749
559,21432,31012
560,35597,35201
561,25083,34115
562,35646,22746
563,21275,29253
564,28121,33237
565,20575,22588
566,30487,35842
567,30105,37421
568,34976,27282
569,35770,32836
570,24325,20009
571,25653,32319
572,32943,39583
573,21634,38725
574,38186,32590
575,39528,28898
576,23371,36318
577,32872,34818
578,39651,32081
579,36673,36972
580,21498,36355
581,29218,39653
582,21762,24430
583,31879,23688
584,36662,34981
585,32194,39421
586,37403,39588
587,31065,31502
588,21677,38080
589,29486,26400
590,31140,33601
591,23208,26484
592,29770,20124
593,37898,28038
594,24187,23425
595,22462,37710
596,29020,34388
597,22779,31107
598,25010,25734
599,25926,26793
600,31616,33233
601,30695,24120
602,21858,23144
603,34468,36756
604,24084,21100
605,26968,33159
606,35785,30118
607,32191,28631
608,36637,36208
609,26858,29818
610,34622,34189
611,21927,36584
612,37147,28738
613,35203,28191
614,29731,36632
615,30237,25108
616,24050,34496
617,26214,36405
618,31281,28491
619,28880,24907
620,28519,34228
621,27755,30648
622,26111,37899
623,32059,28192
624,23925,30601
625,27932,29822
626,26503,21010
627,31951,21728
628,36149,29707
629,21987,23079
630,36810,25833
631,29656,39326
632,23580,27474
633,34581,35925
634,33163,39160
635,30846,38010
636,31953,37189
637,22834,23545
638,39848,37810
639,36344,29317
640,23757,39647
641,32635,22608
642,32111,37107
643,36931,25884
644,35401,39038
645,38763,22033
646,29341,31413
647,21835,23749
648,37995,26146
649,23311,23126
650,30792,36893
651,28240,34034
652,25984,26904
653,20061,33800
654,28395,33717
655,29286,24933
656,32379,23536
657,29021,20130
658,30750,24157
659,36773,31274
660,38647,31681
661,25156,21866
662,29964,31028
663,35117,34246
664,27063,34025
665,22591,39526
666,25644,23290
667,30030,38589
668,30143,35271
669,34552,33917
670,37431,20784
671,27632,23539
672,30562,35709
673,24136,31217
674,39691,20869
675,27286,38297
676,30111,27158
677,37446,25279
678,27729,27351
679,24236,22216
680,31900,30963
681,26662,20729
682,20445,22524
683,20751,21449
684,29647,37482
685,22474,32089
686,31026,35600
687,35702,22729
688,25601,31930
689,25221,25383
690,36609,27880
691,35199,31927
692,34287,30047
693,24768,32231
694,25779,29340
695,37334,35159
696,24170,38141
697,28446,22753
698,31690,26279
699,21483,35003
700,25340,24323
701,33586,38414
702,32161,39008
703,39127,26726
704,30359,38032
705,32500,35308
706,38252,22231
707,36130,39280
708,28829,22809
709,21144,32071
710,36944,27244
711,39592,24052
712,33619,32731
713,30804,33845
714,21523,35814
715,23472,27796
716,35919,26115
717,20091,25407
718,25480,35107
719,34479,23127
720,29780,24561
721,22035,23890
722,29663,36021
723,39702,37613
724,23478,35772
725,38050,23046
726,22226,26302
727,37948,27498
728,28850,30152
729,22845,29720
730,23445,37789
731,37879,30182
732,37564,33216
733,29567,23001
734,31290,25337
735,39281,33450
736,30007,35992
737,34962,35989
738,35244,32932
739,29439,37967
740,34913,28487
741,32867,30754
742,29150,30996
743,22246,24239
744,26977,28087
745,23898,22494
746,37615,20417
747,32247,24235
748,31483,36636
749,33568,28606
750,32576,24606
751,25887,29977
752,21418,23931
753,38399,21481
754,35514,39320
755,27042,36437
756,28698,23341
757,39434,34712
758,37099,21548
759,34097,39823
760,28861,23616
761,38687,39777
762,24209,27966
763,26239,39681
764,29801,26107
765,22544,31184
766,33198,28276
767,20296,20282
768,37748,29436
769,35790,29343
770,35466,23052
771,37705,36602
772,38993,34982
773,36564,39345
774,21846,28685
775,30191,20685
776,22362,21803
777,21321,32128
778,27309,24457
779,35950,35687
780,29465,32895
781,37957,33223
782,39063,37636
783,30401,33273
784,24322,30429
785,39943,33997
786,24202,38329
787,24130,32358
788,31982,27838
789,24208,33026
790,25501,32770
791,25866,32252
792,33674,21717
793,31971,36519
794,29744,39951
795,36669,21254
796,24220,38738
797,34491,36280
798,33846,20499
799,34394,39276
800,33879,26031
801,24663,30430
802,36026,27130
803,39544,22003
804,30652,22593
805,24393,23435
806,27396,27845
807,32521,31639
808,39409,27655
809,22100,23871
810,20686,38735
811,35888,34624
812,23865,30516
813,31512,24048
814,24894,38194
815,27913,26579
816,20853,25758
817,26751,20881
818,31501,30991
819,23592,33429
820,39898,23877
821,22644,39904
822,35385,32493
823,22759,29250
824,34195,29763
825,35582,28859
826,31240,24406
827,27660,38193
828,24104,25996
829,20884,31592
830,35774,38343
831,30851,30791
832,32029,28401
833,26798,33836
834,20700,37182
835,20392,30625
836,33066,36397
837,37222,22445
838,23963,25863
839,27428,26187
840,33062,20351
841,33963,34362
842,33136,26344
843,23073,35637
844,24117,21491
845,29955,32401
846,28274,29186
847,39287,22412
848,29262,29169
849,38144,24452
850,22255,36101
851,20693,28994
852,35219,28946
853,34809,25970
854,28931,37312
855,28807,39334
856,20914,24147
857,22936,22436
858,23284,33335
859,31770,27341
860,28999,38732
861,34207,23723
862,39138,37491
863,26963,33280
864,30685,25132
865,25140,39314
866,26281,25567
867,38500,37645
868,23845,22276
869,33290,21699
870,21088,37828
871,29134,30423
872,23525,25468
873,22310,21880
874,21249,28791
875,20738,23045
876,31471,21431
877,31642,24715
878,34240,39685
879,28925,21283
880,23793,31980
881,25504,38854
882,30157,20900
883,37979,34728
884,22137,35620
885,30748,36438
886,34583,30451
887,28881,25188
888,34094,39135
889,23523,29126
890,28598,24628
891,21098,26019
892,35947,31571
893,21056,25110
894,30819,20910
895,22251,30712
896,33534,30330
897,37073,32496
898,34773,34485
899,21192,27353
900,25176,36754
901,31227,36610
902,32620,20253
903,34538,21862
904,26035,27825
905,21008,35095
906,24868,26139
907,23085,38295
908,31275,22780
909,24519,27887
910,23300,38587
911,33607,37309
912,33392,21025
913,38908,36629
914,22468,30126
915,23979,24072
916,20819,32952
917,39266,20310
918,20732,31365
919,24353,23250
920,36970,20274
921,34939,31717
922,35076,37138
923,33827,32947
924,26651,24219
925,25694,29995
926,34852,26221
927,26289,39348
928,27548,39264
929,26507,30159
930,25074,32538
931,30981,36857
932,22623,35653
933,22334,37475
934,28339,30251
935,22337,31258
936,32532,27828
937,37680,26240
938,22531,34059
939,35170,29703
940,33612,32806
941,34522,39837
942,38770,22695
943,27552,38518
944,30258,31843
945,22205,29137
946,29564,28968
947,33807,30024
948,35310,36527
949,33431,33750
950,38229,28984
951,24950,29098
952,23120,20588
953,30893,20788
954,38017,38528
955,20520,30259
956,36058,29349
957,21336,31506
958,24144,28719
959,22742,25197
960,34876,37153
961,38987,32347
962,27270,37639
963,33187,21001
964,23468,25305
965,28992,21416
966,33608,27256
967,32951,22228
968,34556,27161
969,25029,38704
970,21076,39239
971,29961,28527
972,31533,32676
973,21996,21315
974,35557,38066
975,31060,30594
976,36186,25643
977,37371,29661
978,32147,25927
979,29121,29107
980,32505,30452
981,33709,38613
982,24126,39155
983,20723,22842
984,26754,28125
985,26573,35730
986,30217,31368
987,35813,32103
988,22518,38301
989,35596,27452
990,31466,34460
991,25391,20259
992,20210,21694
993,27906,26117
994,31139,39655
995,30311,31593
996,20849,27975
997,31482,22022
998,27931,37778
999,20075,27021
1000,24819,33885
1001,23874,38695
1002,23630,27245
1003,29448,32969
1004,20464,38661
1005,27962,37183
1006,31356,30564
1007,28494,37355
1008,33891,23343
1009,28732,28597
1010,23477,38741
1011,29145,26937
1012,36363,36966
1013,35934,27204
1014,37843,22897
1015,23558,26271
1016,36134,35719
1017,31815,38000
1018,36045,25648
1019,33854,26074
1020,27634,23168
1021,30167,34733
1022,20598,36160
1023,30520,31465
1024,30787,29896
1025,37144,32767
1026,39696,36294
1027,31096,36903
1028,28301,27046
1029,35710,21904
1030,21158,24765
1031,29829,21799
1032,21767,22905
1033,31259,32475
1034,28676,29239
1035,26287,30344
1036,27028,30041
1037,30021,37083
1038,27002,22083
1039,31110,31013
1040,34882,32928
1041,24895,35644
1042,35364,23821
1043,35699,24640
1044,39197,34798
1045,32499,39305
1046,32997,34328
1047,36852,34577
1048,35844,30210
1049,21383,34162
1050,21910,37578
1051,20603,30086
1052,21000,25389
1053,27024,23632
1054,38162,22395
1055,31250,21097
1056,30979,24493
1057,36424,29310
1058,30497,21480
1059,38566,22410
1060,33877,38529
1061,30366,27483
1062,38112,28030
1063,20627,38280
1064,36819,37413
1065,32150,22565
1066,38043,22244
1067,31382,24995
1068,37817,26650
1069,25885,33753
1070,22344,22253
1071,23594,25134
1072,22006,22923
1073,26634,37529
1074,37004,32245
1075,36139,25211
1076,38816,37793
1077,34910,22734
1078,38502,29929
1079,33689,36780
1080,27508,28305
1081,32001,20801
1082,35490,27140
1083,22659,27260
1084,25035,21559
1085,31193,29424
1086,21758,35639
1087,33868,34064
1088,34432,31255
1089,22928,31246
1090,30225,29249
1091,26861,37373
1092,20127,23022
1093,37511,33492
1094,28210,38251
1095,30960,32541
1096,26072,31347
1097,32742,38699
1098,29746,23459
1099,22118,26892
1100,23818,34756
1101,23595,37501
1102,38087,33408
1103,34407,24197
1104,28754,20637
1105,37216,30710
1106,32643,29404
1107,27285,32088
1108,24262,32734
1109,30568,25249
1110,38114,36809
1111,27688,37023
1112,37006,32479
1113,27676,31293
1114,25589,24127
1115,36826,29503
1116,21715,29198
1117,21138,22540
1118,25845,37506
1119,27135,34348
1120,33328,31740
1121,36633,20993
1122,22038,38561
1123,22514,29533
1124,20948,20522
1125,27237,28416
1126,28879,38054
1127,29008,33796
1128,25960,39609
1129,20120,20002
1130,33312,30476
1131,24063,26329
1132,38756,38371
1133,32188,31957
1134,27909,27020
1135,29581,38921
1136,36187,38071
1137,36423,30499
1138,39048,23593
1139,27431,29452
1140,34705,29820
1141,35494,28414
1142,32805,30949
1143,36545,22233
1144,33841,24017
1145,33659,36968
1146,26611,25205
1147,23644,23687
1148,38354,30179
1149,33969,28379
1150,39277,20928
1151,33010,30894
1152,26735,28737
1153,23748,35249
1154,39067,38998
1155,34184,34166
1156,28570,39545
1157,28471,26697
1158,23010,22157
1159,24807,33154
1160,35029,34637
1161,34329,31584
1162,32995,27382
1163,33947,28173
1164,23024,34096
1165,34900,22953
1166,28013,21245
1167,31769,36253
1168,33849,36881
1169,36110,31324
1170,35933,36937
1171,23437,24214
1172,23974,21191
1173,29877,24288
1174,27901,32408
1175,31112,31652
1176,39756,34632
1177,21469,35094
1178,38210,28161
1179,22028,34405
1180,31132,32614
1181,33221,29133
1182,26213,29839
1183,20007,30896
1184,38084,27784
1185,24279,27375
1186,21464,27933
1187,28531,39185
1188,32380,23496
1189,26004,34871
1190,24203,30654
1191,24981,31341
1192,26837,39089
1193,30408,25964
1194,20579,28772
1195,26901,39941
1196,25948,21788
1197,32855,24150
1198,36804,28219
1199,28582,23508
1200,20655,29036
1201,38150,30317
1202,25308,27195
1203,20828,37441
1204,20148,29726
1205,31067,26896
1206,38382,38421
1207,24046,32537
1208,34759,33388
1209,24978,35812
1210,29290,37848
1211,24568,25241
1212,36332,38059
1213,32238,39085
1214,26395,38100
1215,23245,25166
1216,38036,26665
1217,35085,37380
1218,39120,28100
1219,34185,21613
1220,27715,27567
1221,37992,33420
1222,38225,36283
1223,39181,29516
1224,23742,37272
1225,30406,36681
1226,27510,31763
1227,37548,35430
1228,37416,37703
1229,27694,37604
1230,20190,29678
1231,30169,29807
1232,23909,31696
1233,26285,33538
1234,27928,28051
1235,36127,27578
1236,34325,31211
1237,34374,37557
1238,24991,35427
1239,33662,21126
1240,30434,39946
1241,32080,33618
1242,25243,25160
1243,39505,25771
1244,25123,36298
1245,24733,32202
1246,21143,29758
1247,33874,32481
1248,28070,34147
1249,37522,31765
1250,35920,31586
1251,29084,32179
1252,36198,30533
1253,26064,35136
1254,33663,33968
1255,36530,29698
1256,25102,37556
1257,21648,22336
1258,27166,35277
1259,22325,27771
1260,23690,22005
1261,23994,35966
1262,38299,32183
1263,27965,33540
1264,22206,23432
1265,36352,34554
1266,34367,35722
1267,26318,21609
1268,27704,23181
1269,26740,35025
1270,23889,20593
1271,31628,36413
1272,24531,21169
1273,23735,36057
1274,23470,30831
1275,29768,21119
1276,31335,20766
1277,30286,26799
1278,32341,27054
1279,22227,24193
1280,26994,31072
1281,34005,23189
1282,24134,24544
1283,26752,31542
1284,36215,22850
1285,23150,21808
1286,28239,34376
1287,32942,39928
1288,33267,27792
1289,21582,33798
1290,36148,21756
1291,35042,36926
1292,39805,30847
1293,34532,24562
1294,37299,29640
1295,27791,22386
1296,31030,22807
1297,26568,32792
1298,35382,38289
1299,35724,35242
1300,29627,33539
1301,33410,34010
1302,39426,32134
1303,39206,35521
1304,29867,34188
1305,20939,29779
1306,31910,20191
1307,25219,21805
1308,35021,27692
1309,20547,26340
1310,33185,29511
1311,22913,27124
1312,30964,28264
1313,21244,33888
1314,35943,36649
1315,27476,28498
1316,28034,28122
1317,32833,21928
1318,29915,23141
1319,20857,25339
1320,20792,31135
1321,24420,36511
1322,26135,21892
1323,20410,24919
1324,34761,28281
1325,20644,37365
1326,27815,26572
1327,26125,27685
1328,34345,23306
1329,33940,35419
1330,25347,39970
1331,35697,28124
1332,22269,24720
1333,33987,24969
1334,34619,27112
1335,32011,27811
1336,35090,24191
1337,27631,32774
1338,23026,34571
1339,33162,32846
1340,26079,34066
1341,38163,33437
1342,22020,25245
1343,20024,23070
1344,24340,31082
1345,32022,34443
1346,37731,26854
1347,21354,28092
1348,38602,28390
1349,28140,39308
1350,29419,25058
1351,38972,35154
1352,23185,39988
1353,35791,33532
1354,23226,21826
1355,29534,20960
1356,23526,24793
1357,23161,21670
1358,29072,29812
1359,24784,32950
1360,35580,37570
1361,23269,21068
1362,25293,22184
1363,36623,32962
1364,26089,22738
1365,27490,25733
1366,22847,36091
1367,26462,25606
1368,30992,27069
1369,35292,38433
1370,39597,31215
1371,32589,23040
1372,32126,25457
1373,30758,29059
1374,23734,30488
1375,31998,26297
1376,35402,26825
1377,21861,22416
1378,36833,27262
1379,26782,23528
1380,23743,32785
1381,30365,33110
1382,29460,26576
1383,38463,37920
1384,23729,21214
1385,23825,38245
1386,23764,37481
1387,34546,22287
1388,37871,24482
1389,37286,24119
1390,25594,24237
1391,20176,31750
1392,22082,24300
1393,23814,37733
1394,37185,20158
1395,38451,24013
1396,26786,25214
1397,25979,29555
1398,32753,26559
1399,20487,39646
1400,36995,22387
1401,27836,27061
1402,28456,30240
1403,39640,20234
1404,36303,24377
1405,34620,34597
1406,38806,26675
1407,20159,28208
1408,33211,32230
1409,28216,36716
1410,32543,29167
1411,26350,25912
1412,26853,21122
1413,31938,29179
1414,39074,20755
1415,36092,30586
1416,36938,35756
1417,33835,25361
1418,29696,35380
1419,28629,23333
1420,22569,32235
1421,23081,33098
1422,27852,21035
1423,28425,33508
1424,25491,29784
1425,20257,21093
1426,24732,20213
1427,32984,38526
1428,38481,26889
1429,21608,36313
1430,20771,34320
1431,34236,38547
1432,24315,35305
1433,35231,36266
1434,33506,37200
1435,36492,37986
1436,24923,27050
1437,35714,34824
1438,28932,32394
1439,27773,24816
1440,29536,32739
1441,31323,33816
1442,23339,35086
1443,22315,20776
1444,24513,31295
1445,21444,34266
1446,39954,26141
1447,39511,26513
1448,37480,35177
1449,35287,34869
1450,25809,32378
1451,33298,24380
1452,27621,22601
1453,33201,32788
1454,39720,34370
1455,38760,24761
1456,32965,22881
1457,25499,20402
1458,38536,33710
1459,27172,35164
1460,24729,24395
1461,21493,35977
1462,27091,23042
1463,32321,36443
1464,21761,35240
1465,28574,21047
1466,21307,20040
1467,24371,33121
1468,38484,33175
1469,32375,32582
1470,25182,33595
1471,35742,31767
1472,38683,27996
1473,22653,30933
1474,33481,33208
1475,38499,24044
1476,33165,28801
1477,24181,34986
1478,23736,35552
1479,27925,20607
1480,37171,31948
1481,31265,35496
1482,27393,37386
1483,39684,31343
1484,28742,21834
1485,30506,35053
1486,39962,20063
1487,33497,34000
1488,28470,26930
1489,21656,38156
1490,22290,30702
1491,22234,33482
1492,32240,30205
1493,22220,30897
1494,26254,28712
1495,37240,33137
1496,28384,25770
1497,23279,25269
1498,35185,32931
1499,22982,25315
1500,31698,29750
1501,26086,22840
1502,27502,34827
1503,31144,36828
1504,26428,37763
1505,34003,38672
1506,20565,26995
1507,30221,25876
1508,31818,26307
1509,34948,32437
1510,30823,33730
1511,25804,28364
1512,30547,32681
1513,22466,29722
1514,28259,22239
1515,36889,20228
1516,23234,27433
1517,36971,36392
1518,36888,33897
1519,33197,35839
1520,28757,22442
1521,34390,34649
1522,21991,30269
1523,37488,31145
1524,39413,25631
1525,29445,20744
1526,24862,23807
1527,36089,28998
1528,39117,32086
1529,26911,26980
1530,29510,38696
1531,32338,30706
1532,33129,37389
1533,20175,36276
1534,33013,35810
1535,20003,35449
1536,34420,29027
1537,22552,30433
1538,35191,27142
1539,22095,24328
1540,38910,36883
1541,36690,29544
1542,31166,29063
1543,34208,37507
1544,22240,34889
1545,25766,39509
1546,29519,37527
1547,37126,21619
1548,26392,38285
1549,30918,21724
1550,30254,34264
1551,23791,39798
1552,36006,27175
1553,39723,25958
1554,37096,36234
1555,25862,32641
1556,34769,26737
1557,33924,25580
1558,27055,38925
1559,33397,22563
1560,20248,28334
1561,23162,28726
1562,37115,33665
1563,23084,22916
1564,25494,34800
1565,26025,25303
1566,31194,25775
1567,22433,23399
1568,21091,37075
1569,28652,30502
1570,25819,31912
1571,20654,30370
1572,38978,29875
1573,21324,31223
1574,37601,36932
1575,28074,30133
1576,35764,31095
1577,26738,37777
1578,37499,32678
1579,36240,37520
1580,35503,39912
1581,30328,37940
1582,31171,32262
1583,24866,27378
1584,32911,28488
1585,33049,34404
1586,38784,31492
1587,32123,20599
1588,32157,20608
1589,32182,35122
1590,37892,21405
1591,28262,31621
1592,33336,27615
1593,26743,25813
1594,23694,23198
1595,27511,30186
1596,35456,22680
1597,36109,27535
1598,24945,23489
1599,31427,30769
1600,22248,37724
1601,31659,23023
1602,21967,32441
1603,36640,22247
1604,31902,29806
1605,37290,24845
1606,36572,27895
1607,34192,39427
1608,28836,35180
1609,21955,21387
1610,35879,20908
1611,32918,28385
1612,39415,38799
1613,39377,21654
1614,36023,25087
1615,26417,26336
1616,28976,39435
1617,39709,26967
1618,24814,32472
1619,31029,30798
1620,20205,31399
1621,31990,33073
1622,27163,32114
1623,23327,36538
1624,31443,24166
1625,21262,33035
1626,23815,29283
1627,34291,30967
1628,26054,27051
1629,32688,29653
1630,25258,27662
1631,30156,31737
1632,21111,30058
1633,39881,35594
1634,31510,21742
1635,26686,20974
1636,39692,21543
1637,37861,25617
1638,24304,38961
1639,32297,21402
1640,33640,33018
1641,38504,24598
1642,37012,28455
1643,20006,26352
1644,30540,38762
1645,39624,22145
1646,39551,39066
1647,22969,35931
1648,24291,24090
1649,30775,24975
1650,39966,27497
1651,33545,26002
1652,25161,37741
1653,26489,36679
1654,27993,39687
1655,22042,25225
1656,21075,24113
1657,37263,34271
1658,39674,37846
1659,24976,20404
1660,26869,33029
1661,29916,34085
1662,37401,22903
1663,20634,31521
